record_id,category,provenance,n_joints,ngeom,d_bbox,total_mass,B11_score,B11_human,B12_score,B12_human,B13_score,B13_human,B14_score,B14_human,B12_worst_joint,B12_S_interface,B12_S_gravity
rec_a-midi-keyboard_20260322_164952_491478_ce96f1d3,MIDI keyboard controller with pitch wheel and sliders,asset,42,68,0.9785,4.023,0.22580645161290322,满足,0.0,不满足,0.1798363167112766,不满足,,不涉及,chassis_to_white_key_0,0.0,
rec_adjustable_weight_bench_with_hinged_backrest_8590c7ba954646b0b7f0a1b6fecc6b44,Adjustable weight bench with hinged backrest,inferred,3,43,2.54,32.382,0.0010275095115280537,不涉及,0.0,不满足,0.02042745945865014,不涉及,,不涉及,base_to_seat,0.0,0.005423
rec_air_conditioning_machine_7e491607358345d4af18dd84accf03d3,Air conditioning machine,inferred,6,11,3.287,1.822,0.0024169329186817935,满足,0.0,不满足,0.7709824250627354,满足,,满足,front_button_0_press,0.0,
rec_air_fryer_with_pullout_basket_14ac4c8c9e35416b864382571fa27e62,Air fryer with pullout basket,inferred,5,10,1.0615,8.238,1.0433935202441401e-20,满足,0.0,满足,0.0001523930777645934,满足,,满足,body_to_drawer,0.0,0.0
rec_air_pump_with_t_handle_bb8a3ad3760a48bbbbb2f6a2d5f5f34a,Air pump with T-handle,inferred,3,36,2.0552,1.587,1.6456982604365033e-09,满足,0.0,不满足,1.4262594410354078e-09,满足,,满足,needle_pivot,0.0,
rec_air_purifier_with_filter_door_78b8ba69a3644700953d6de891fe0e85,Air purifier with filter door,asset,2,22,0.6803,2.23,2.026133904608964e-07,满足,0.0,不满足,9.873934151581043e-41,满足,,满足,cap_unlock,0.0,0.0
rec_all_in_one_printer_with_scanner_lid_and_paper_tray_401e9042a65b4e4c84b3193175918b05,All-in-one printer with scanner lid and paper tray,inferred,10,24,2.0201,14.907,0.06489939075953492,满足,0.0,满足,1.930550317078418e-12,满足,,满足,body_to_flatbed_lid,0.0,1e-06
rec_astronomical_telescope_on_tripod_b6c43a69e11e4854bf06422f113d9b7d,Astronomical telescope on tripod,inferred,4,46,2.7958,89.903,0.38781775926908507,满足,0.0,满足,0.04272456928905896,满足,,满足,altitude,0.0,0.895098
rec_barrier_gate_fae73e3eb6984a6a8b3e62ca0a47679a,Barrier gate,inferred,1,24,6.563,42.045,2.4836664198594822e-11,满足,0.8347430468066211,满足,0.0013852538853701471,满足,,满足,housing_to_arm,0.835616,0.998956
rec_bell_tower_with_swinging_bell_2f0ad6cf7c17417ab1291268aa663643,Bell tower with swinging bell,asset,2,20,8.6782,2342.0,0.0053152531726930454,满足,1.33475687689008e-10,满足,0.03325033561701814,满足,,满足,clapper_pivot,0.0,0.007744
rec_bench_vise_with_prismatic_jaw_0002,Bench vise with prismatic jaw,asset,1,45,1.743,35.0,1.1969228565448863e-07,满足,1.950948003938667e-06,满足,6.346305724183576e-14,满足,,满足,jaw_slide,0.034753,5.6e-05
rec_benchtop_monocular_laboratory_microscope_660cc8661bc54d2daf770dafb4efe269,Benchtop Monocular Laboratory Microscope,inferred,5,31,0.7021,0.601,0.0004316510073675898,满足,0.0,不满足,0.5708147234952594,满足,,满足,focus_slide,0.0,0.829238
rec_bicycle_crankset_and_pedal_assembly_815cd8c51ee342719a051869fe2b7325,Bicycle crankset and pedal assembly,inferred,3,44,0.9155,1.439,1.0,满足,6.646264066916029e-05,满足,6.307831514029586e-08,满足,,满足,bottom_bracket_to_crank,0.060352,0.001101
rec_bicycle_dropper_seatpost_assembly_286c921428ff433786e22f9ea5de2ed4,Bicycle dropper seatpost assembly,inferred,2,37,1.2041,2.269,4.373352269961495e-08,满足,0.0,满足,1.187943968069126e-10,满足,,满足,saddle_tilt,0.0,0.001432
