uuid,variant,gt_error_type,gt_dimension,GF1,GF2,GF3,GF4,dGF1,dGF2,dGF3,dGF4,detected_dim,detected_defect
09d46e9b-ab70-ccc4-c1fc-57a7e39602bb,gt,none,None,1.0000,0.6667,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
09d46e9b-ab70-ccc4-c1fc-57a7e39602bb,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,1.0000,0.0000,-0.3333,0.0000,0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
09d46e9b-ab70-ccc4-c1fc-57a7e39602bb,part_displacement,part_displacement,GF3,0.5000,0.6833,0.2500,0.0317,-0.5000,0.0167,-0.7500,-0.9682,GF4,"proportion_scale",GF1
09d46e9b-ab70-ccc4-c1fc-57a7e39602bb,proportion_scale,proportion_scale,GF4,1.0000,0.6667,1.0000,0.1606,0.0000,0.0000,0.0000,-0.8394,GF4,"proportion_scale",GF4
09d46e9b-ab70-ccc4-c1fc-57a7e39602bb,topology_break,topology_break,GF1,0.6982,0.6667,0.2500,0.0391,-0.3018,0.0000,-0.7500,-0.9609,GF4,"proportion_scale",GF1
3753d810-9ce6-a122-fac6-fd64e414f887,decoration_removal,decoration_removal,weak_all,1.0000,0.3333,1.0000,1.0000,0.0000,0.0000,0.0000,0.0893,None,"no defect above threshold",None
3753d810-9ce6-a122-fac6-fd64e414f887,gt,none,None,1.0000,0.3333,1.0000,0.9107,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
3753d810-9ce6-a122-fac6-fd64e414f887,part_displacement,part_displacement,GF3,1.0000,0.3333,0.3333,0.5169,0.0000,0.0000,-0.6667,-0.3938,GF3,"part_displacement",GF3
3753d810-9ce6-a122-fac6-fd64e414f887,proportion_scale,proportion_scale,GF4,1.0000,0.3333,1.0000,0.5603,0.0000,0.0000,0.0000,-0.3503,GF4,"proportion_scale",GF4
3753d810-9ce6-a122-fac6-fd64e414f887,topology_break,topology_break,GF1,0.5000,0.0000,0.6667,0.9107,-0.5000,-0.3333,-0.3333,0.0000,GF1,"topology_break",GF1
447aae45-d4fa-82ea-8fe8-e6572bf9f0bf,gt,none,None,1.0000,0.6667,1.0000,0.8470,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
447aae45-d4fa-82ea-8fe8-e6572bf9f0bf,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,0.8470,0.0000,-0.3333,0.0000,0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
447aae45-d4fa-82ea-8fe8-e6572bf9f0bf,part_displacement,part_displacement,GF3,1.0000,0.6667,1.0000,0.8472,0.0000,0.0000,0.0000,0.0001,None,"no defect above threshold",None
447aae45-d4fa-82ea-8fe8-e6572bf9f0bf,proportion_scale,proportion_scale,GF4,1.0000,0.6667,1.0000,0.4667,0.0000,0.0000,0.0000,-0.3803,GF4,"proportion_scale",GF4
447aae45-d4fa-82ea-8fe8-e6572bf9f0bf,topology_break,topology_break,GF1,0.6255,0.3333,0.6667,0.8470,-0.3745,-0.3333,-0.3333,0.0000,GF1,"topology_break",GF1
87e570d9-0ca6-6676-f215-d34f9a7be557,gt,none,None,1.0000,0.5556,1.0000,0.8253,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
87e570d9-0ca6-6676-f215-d34f9a7be557,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,0.7379,0.0000,-0.2222,0.0000,-0.0874,GF2,"part_deletion / silent_noop (missing feature)",GF2
87e570d9-0ca6-6676-f215-d34f9a7be557,part_displacement,part_displacement,GF3,0.5075,0.4444,0.7500,0.2759,-0.4925,-0.1111,-0.2500,-0.5494,GF4,"proportion_scale",GF1
87e570d9-0ca6-6676-f215-d34f9a7be557,silent_noop,silent_noop,GF2,1.0000,0.5556,1.0000,0.8253,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
87e570d9-0ca6-6676-f215-d34f9a7be557,topology_break,topology_break,GF1,0.5771,0.5556,0.7500,0.1949,-0.4229,0.0000,-0.2500,-0.6303,GF4,"proportion_scale",GF1
8ef0010b-ab19-d328-5ff9-aa49d94cd201,gt,none,None,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
8ef0010b-ab19-d328-5ff9-aa49d94cd201,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,1.0000,0.0000,-0.6667,0.0000,-0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
8ef0010b-ab19-d328-5ff9-aa49d94cd201,part_displacement,part_displacement,GF3,0.5000,0.0000,0.0000,0.5315,-0.5000,-1.0000,-1.0000,-0.4685,GF2,"part_deletion / silent_noop (missing feature)",GF1
8ef0010b-ab19-d328-5ff9-aa49d94cd201,proportion_scale,proportion_scale,GF4,1.0000,1.0000,1.0000,0.4404,0.0000,0.0000,0.0000,-0.5596,GF4,"proportion_scale",GF4
8ef0010b-ab19-d328-5ff9-aa49d94cd201,topology_break,topology_break,GF1,0.5000,0.3333,0.0000,1.0000,-0.5000,-0.6667,-1.0000,-0.0000,GF3,"part_displacement",GF1
940297b1-cfb4-7311-6db4-51fc2e6fb070,gt,none,None,1.0000,1.0000,1.0000,0.8659,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
940297b1-cfb4-7311-6db4-51fc2e6fb070,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,0.7989,0.0000,-0.6667,0.0000,-0.0670,GF2,"part_deletion / silent_noop (missing feature)",GF2
940297b1-cfb4-7311-6db4-51fc2e6fb070,part_displacement,part_displacement,GF3,0.5000,0.8889,0.2500,0.0393,-0.5000,-0.1111,-0.7500,-0.8266,GF4,"proportion_scale",GF1
940297b1-cfb4-7311-6db4-51fc2e6fb070,proportion_scale,proportion_scale,GF4,1.0000,1.0000,1.0000,0.4601,0.0000,0.0000,0.0000,-0.4059,GF4,"proportion_scale",GF4
